Date,CustomerId,ItemId,Quantity,UnitPrice,Discount,Subtotal,ItemName
2025-03-27,CUST0126,ITEM026,2,40.33,0.16,67.75,Desk Organizer
2025-03-28,CUST0087,ITEM030,5,7.09,0.18,29.07,Push Pins
2025-03-04,CUST0090,ITEM026,2,40.33,0.08,74.21,Desk Organizer
2025-03-17,CUST0051,ITEM015,3,13.18,0.16,33.21,Folder
2025-03-11,CUST0034,ITEM012,3,48.65,0.1,131.35,Scissors
2025-04-04,CUST0046,ITEM021,6,32.53,0.1,175.66,Clipboard
2025-04-13,CUST0119,ITEM001,5,21.85,0.06,102.7,Notebook
2025-04-01,681ef40f11f6648efb65ba89,ITEM008,3,43.98,0.11,117.43,Ruler
2025-03-23,CUST0071,ITEM023,8,18.15,0.07,135.04,Sketch Pad
2025-05-09,CUST0131,ITEM016,2,13.25,0.01,26.24,Calculator
2025-03-06,CUST0054,ITEM025,5,25.52,0.08,117.39,Correction Fluid
2025-03-06,CUST0042,ITEM023,4,18.15,0.09,66.07,Sketch Pad
2025-03-03,CUST0039,ITEM002,6,47.78,0.08,263.75,Pencil
2025-05-09,CUST0123,ITEM021,6,32.53,0.11,173.71,Clipboard
2025-03-26,CUST0078,ITEM012,5,48.65,0.15,206.76,Scissors
2025-03-08,CUST0082,ITEM008,4,43.98,0.08,161.85,Ruler
2025-04-11,CUST0046,ITEM007,4,7.61,0.07,28.31,Highlighter
2025-04-28,CUST0134,ITEM028,6,28.14,0.07,157.02,Label Maker
2025-05-11,CUST0124,ITEM013,6,42.46,0.15,216.55,Tape
2025-03-12,CUST0035,ITEM020,6,18.11,0.15,92.36,Whiteboard Marker
2025-03-23,CUST0092,ITEM029,5,31.66,0.05,150.38,Bulletin Board
2025-04-12,CUST0133,ITEM010,8,36.86,0.03,286.03,Protractor
2025-03-18,CUST0111,ITEM013,3,42.46,0.03,123.56,Tape
2025-03-16,CUST0145,ITEM021,4,32.53,0.11,115.81,Clipboard
2025-03-11,CUST0018,ITEM021,5,32.53,0.02,159.4,Clipboard
2025-05-11,CUST0036,ITEM024,10,21.49,0.17,178.37,Index Cards
2025-03-31,CUST0016,ITEM027,7,13.99,0.06,92.05,File Tray
2025-03-04,CUST0150,ITEM030,4,7.09,0.05,26.94,Push Pins
2025-03-18,CUST0005,ITEM004,3,31.94,0.13,83.36,Eraser
2025-03-07,CUST0145,ITEM009,2,32.05,0.11,57.05,Compass
2025-04-21,CUST0021,ITEM022,4,11.28,0.16,37.9,Graph Paper
2025-04-17,CUST0049,ITEM007,4,7.61,0.18,24.96,Highlighter
2025-04-08,CUST0100,ITEM020,3,18.11,0.19,44.01,Whiteboard Marker
2025-03-18,CUST0087,ITEM021,10,32.53,0.17,270.0,Clipboard
2025-05-14,CUST0078,ITEM026,3,40.33,0.12,106.47,Desk Organizer
2025-03-28,CUST0072,ITEM010,7,36.86,0.03,250.28,Protractor
2025-04-28,CUST0034,ITEM024,4,21.49,0.12,75.64,Index Cards
2025-03-17,CUST0143,ITEM024,3,21.49,0.13,56.09,Index Cards
2025-05-13,CUST0120,ITEM023,2,18.15,0.07,33.76,Sketch Pad
2025-04-03,CUST0085,ITEM021,6,32.53,0.09,177.61,Clipboard
2025-04-08,CUST0053,ITEM008,8,43.98,0.1,316.66,Ruler
2025-04-25,CUST0136,ITEM005,10,12.02,0.18,98.56,Sharpener
2025-03-14,CUST0056,ITEM010,2,36.86,0.18,60.45,Protractor
2025-03-09,CUST0106,ITEM024,5,21.49,0.01,106.38,Index Cards
2025-04-13,CUST0061,ITEM015,7,13.18,0.1,83.03,Folder
2025-05-17,CUST0013,ITEM017,5,18.69,0.19,75.69,Stapler
2025-03-11,CUST0139,ITEM008,5,43.98,0.18,180.32,Ruler
2025-03-09,CUST0113,ITEM001,1,21.85,0.19,17.7,Notebook
2025-04-21,CUST0095,ITEM010,6,36.86,0.07,205.68,Protractor
2025-03-28,CUST0006,ITEM005,5,12.02,0.03,58.3,Sharpener
2025-04-23,CUST0123,ITEM015,6,13.18,0.14,68.01,Folder
2025-05-01,CUST0136,ITEM027,6,13.99,0.07,78.06,File Tray
2025-05-01,CUST0106,ITEM028,10,28.14,0.08,258.89,Label Maker
2025-05-03,CUST0149,ITEM003,8,37.94,0.08,279.24,Pen
2025-05-14,CUST0132,ITEM011,2,5.93,0.11,10.56,Glue Stick
2025-03-14,CUST0020,ITEM025,6,25.52,0.0,153.12,Correction Fluid
2025-04-19,CUST0110,ITEM022,5,11.28,0.06,53.02,Graph Paper
2025-05-11,CUST0110,ITEM013,3,42.46,0.17,105.73,Tape
2025-03-12,CUST0131,ITEM011,5,5.93,0.12,26.09,Glue Stick
2025-04-12,CUST0072,ITEM004,3,31.94,0.19,77.61,Eraser
2025-03-15,CUST0150,ITEM011,5,5.93,0.08,27.28,Glue Stick
2025-03-17,CUST0122,ITEM022,6,11.28,0.04,64.97,Graph Paper
2025-05-03,CUST0116,ITEM028,2,28.14,0.18,46.15,Label Maker
2025-03-27,CUST0034,ITEM015,7,13.18,0.19,74.73,Folder
2025-05-01,CUST0015,ITEM023,1,18.15,0.13,15.79,Sketch Pad
2025-04-01,CUST0081,ITEM003,9,37.94,0.12,300.48,Pen
2025-04-19,CUST0117,ITEM012,4,48.65,0.06,182.92,Scissors
2025-03-29,CUST0097,ITEM015,5,13.18,0.17,54.7,Folder
2025-04-25,CUST0019,ITEM003,5,37.94,0.05,180.21,Pen
2025-05-12,CUST0065,ITEM003,2,37.94,0.08,69.81,Pen
2025-03-20,CUST0001,ITEM005,10,12.02,0.16,100.97,Sharpener
2025-04-23,CUST0065,ITEM013,5,42.46,0.07,197.44,Tape
2025-05-04,CUST0046,ITEM007,5,7.61,0.16,31.96,Highlighter
2025-04-24,CUST0007,ITEM021,5,32.53,0.13,141.51,Clipboard
2025-03-13,CUST0101,ITEM017,4,18.69,0.16,62.8,Stapler
2025-03-11,CUST0141,ITEM012,10,48.65,0.07,452.44,Scissors
2025-04-19,CUST0014,ITEM011,5,5.93,0.04,28.46,Glue Stick
2025-04-01,CUST0076,ITEM003,3,37.94,0.11,101.3,Pen
2025-04-18,CUST0116,ITEM025,3,25.52,0.16,64.31,Correction Fluid
2025-04-08,CUST0063,ITEM008,5,43.98,0.12,193.51,Ruler
2025-03-10,CUST0046,ITEM030,7,7.09,0.1,44.67,Push Pins
2025-04-03,CUST0004,ITEM005,2,12.02,0.08,22.12,Sharpener
2025-03-05,CUST0024,ITEM029,4,31.66,0.06,119.04,Bulletin Board
2025-03-06,CUST0046,ITEM014,4,14.56,0.07,54.16,Binder
2025-05-10,CUST0067,ITEM018,4,28.61,0.09,104.14,Paper Clips
2025-04-25,CUST0075,ITEM016,4,13.25,0.16,44.52,Calculator
2025-04-28,CUST0048,ITEM030,3,7.09,0.09,19.36,Push Pins
2025-03-12,CUST0095,ITEM012,6,48.65,0.12,256.87,Scissors
2025-03-06,CUST0028,ITEM007,3,7.61,0.01,22.6,Highlighter
2025-04-20,CUST0133,ITEM005,5,12.02,0.06,56.49,Sharpener
2025-04-17,CUST0023,ITEM029,4,31.66,0.08,116.51,Bulletin Board
2025-03-25,CUST0018,ITEM014,6,14.56,0.16,73.38,Binder
2025-05-01,CUST0110,ITEM015,4,13.18,0.1,47.45,Folder
2025-03-10,CUST0115,ITEM022,7,11.28,0.12,69.48,Graph Paper
2025-04-14,CUST0070,ITEM025,6,25.52,0.02,150.06,Correction Fluid
2025-03-20,CUST0110,ITEM004,2,31.94,0.08,58.77,Eraser
2025-04-06,CUST0092,ITEM006,4,12.02,0.05,45.68,Marker
2025-03-13,CUST0142,ITEM024,9,21.49,0.01,191.48,Index Cards
2025-03-13,CUST0060,ITEM013,4,42.46,0.08,156.25,Tape
2025-04-02,CUST0037,ITEM025,3,25.52,0.08,70.44,Correction Fluid
2025-03-12,CUST0079,ITEM023,8,18.15,0.05,137.94,Sketch Pad
2025-05-11,CUST0104,ITEM013,11,42.46,0.03,453.05,Tape
2025-03-10,CUST0145,ITEM012,4,48.65,0.15,165.41,Scissors
2025-04-08,CUST0078,ITEM024,6,21.49,0.04,123.78,Index Cards
2025-04-25,CUST0088,ITEM017,9,18.69,0.08,154.75,Stapler
2025-04-07,CUST0101,ITEM007,4,7.61,0.04,29.22,Highlighter
2025-03-04,CUST0087,ITEM024,7,21.49,0.04,144.41,Index Cards
2025-04-16,CUST0057,ITEM027,11,13.99,0.13,133.88,File Tray
2025-04-27,CUST0044,ITEM028,2,28.14,0.06,52.9,Label Maker
2025-04-12,CUST0133,ITEM020,4,18.11,0.09,65.92,Whiteboard Marker
2025-03-22,CUST0020,ITEM025,7,25.52,0.0,178.64,Correction Fluid
2025-03-26,CUST0089,ITEM012,3,48.65,0.11,129.9,Scissors
2025-03-28,CUST0080,ITEM024,6,21.49,0.06,121.2,Index Cards
2025-05-08,CUST0112,ITEM007,5,7.61,0.04,36.53,Highlighter
2025-05-12,CUST0052,ITEM026,6,40.33,0.06,227.46,Desk Organizer
2025-03-15,CUST0115,ITEM029,2,31.66,0.0,63.32,Bulletin Board
2025-05-10,CUST0084,ITEM024,3,21.49,0.13,56.09,Index Cards
2025-05-14,CUST0015,ITEM024,6,21.49,0.19,104.44,Index Cards
2025-05-14,CUST0076,ITEM021,4,32.53,0.07,121.01,Clipboard
2025-05-07,CUST0027,ITEM029,6,31.66,0.13,165.27,Bulletin Board
2025-05-01,CUST0044,ITEM021,10,32.53,0.06,305.78,Clipboard
2025-04-07,CUST0106,ITEM010,5,36.86,0.01,182.46,Protractor
2025-05-17,CUST0144,ITEM011,10,5.93,0.1,53.37,Glue Stick
2025-04-30,CUST0076,ITEM018,5,28.61,0.11,127.31,Paper Clips
2025-05-07,CUST0015,ITEM022,5,11.28,0.01,55.84,Graph Paper
2025-03-19,CUST0070,ITEM013,7,42.46,0.07,276.41,Tape
2025-04-06,CUST0046,ITEM009,6,32.05,0.01,190.38,Compass
2025-05-13,CUST0096,ITEM022,7,11.28,0.02,77.38,Graph Paper
2025-05-08,CUST0119,ITEM019,7,24.44,0.06,160.82,Sticky Notes
2025-03-18,CUST0014,ITEM028,3,28.14,0.2,67.54,Label Maker
2025-05-09,CUST0085,ITEM001,4,21.85,0.0,87.4,Notebook
2025-03-11,CUST0119,ITEM022,6,11.28,0.2,54.14,Graph Paper
2025-03-28,CUST0107,ITEM019,7,24.44,0.02,167.66,Sticky Notes
2025-04-07,CUST0129,ITEM018,4,28.61,0.06,107.57,Paper Clips
2025-04-15,CUST0102,ITEM014,2,14.56,0.01,28.83,Binder
2025-03-12,CUST0071,ITEM013,10,42.46,0.09,386.39,Tape
2025-03-04,CUST0051,ITEM022,3,11.28,0.14,29.1,Graph Paper
2025-03-15,CUST0043,ITEM011,2,5.93,0.04,11.39,Glue Stick
2025-04-23,CUST0032,ITEM015,3,13.18,0.19,32.03,Folder
2025-05-09,CUST0019,ITEM022,9,11.28,0.0,101.52,Graph Paper
2025-04-24,CUST0094,ITEM027,3,13.99,0.14,36.09,File Tray
2025-03-09,CUST0047,ITEM009,5,32.05,0.19,129.8,Compass
2025-05-13,CUST0014,ITEM001,5,21.85,0.11,97.23,Notebook
2025-04-12,CUST0070,ITEM017,6,18.69,0.19,90.83,Stapler
2025-03-11,CUST0009,ITEM003,3,37.94,0.13,99.02,Pen
2025-05-14,CUST0127,ITEM023,3,18.15,0.16,45.74,Sketch Pad
2025-05-07,CUST0137,ITEM014,1,14.56,0.15,12.38,Binder
2025-03-16,CUST0075,ITEM028,6,28.14,0.0,168.84,Label Maker
2025-05-11,CUST0077,ITEM026,6,40.33,0.11,215.36,Desk Organizer
2025-04-24,CUST0078,ITEM015,5,13.18,0.05,62.6,Folder
2025-03-17,CUST0024,ITEM004,7,31.94,0.11,198.99,Eraser
2025-05-02,CUST0029,ITEM018,4,28.61,0.0,114.44,Paper Clips
2025-04-10,CUST0072,ITEM023,5,18.15,0.01,89.84,Sketch Pad
2025-04-04,CUST0058,ITEM019,4,24.44,0.01,96.78,Sticky Notes
2025-03-03,681ef40f11f6648efb65ba89,ITEM006,8,12.02,0.06,90.39,Marker
2025-03-27,CUST0107,ITEM006,6,12.02,0.08,66.35,Marker
2025-04-19,CUST0068,ITEM018,5,28.61,0.16,120.16,Paper Clips
2025-04-24,CUST0016,ITEM001,4,21.85,0.1,78.66,Notebook
2025-04-02,CUST0143,ITEM027,6,13.99,0.16,70.51,File Tray
2025-03-31,CUST0012,ITEM001,6,21.85,0.08,120.61,Notebook
2025-05-13,CUST0024,ITEM020,5,18.11,0.2,72.44,Whiteboard Marker
2025-04-04,CUST0045,ITEM006,5,12.02,0.19,48.68,Marker
2025-05-17,CUST0136,ITEM004,6,31.94,0.11,170.56,Eraser
2025-04-10,CUST0051,ITEM030,9,7.09,0.1,57.43,Push Pins
2025-05-07,CUST0129,ITEM023,4,18.15,0.09,66.07,Sketch Pad
2025-04-07,CUST0020,ITEM005,6,12.02,0.17,59.86,Sharpener
2025-05-14,CUST0013,ITEM009,3,32.05,0.02,94.23,Compass
2025-03-27,CUST0110,ITEM021,2,32.53,0.14,55.95,Clipboard
2025-03-05,CUST0040,ITEM022,5,11.28,0.05,53.58,Graph Paper
2025-04-06,CUST0023,ITEM023,6,18.15,0.16,91.48,Sketch Pad
2025-04-05,CUST0027,ITEM004,4,31.94,0.14,109.87,Eraser
2025-05-05,CUST0060,ITEM029,4,31.66,0.1,113.98,Bulletin Board
2025-04-26,CUST0142,ITEM026,3,40.33,0.1,108.89,Desk Organizer
2025-03-07,CUST0075,ITEM028,9,28.14,0.19,205.14,Label Maker
2025-04-17,CUST0004,ITEM017,6,18.69,0.16,94.2,Stapler
2025-03-07,CUST0034,ITEM013,3,42.46,0.12,112.09,Tape
2025-04-12,CUST0035,ITEM004,3,31.94,0.18,78.57,Eraser
2025-03-30,CUST0106,ITEM025,3,25.52,0.16,64.31,Correction Fluid
2025-05-04,CUST0102,ITEM006,6,12.02,0.01,71.4,Marker
2025-03-24,CUST0105,ITEM023,9,18.15,0.14,140.48,Sketch Pad
2025-04-18,CUST0125,ITEM013,6,42.46,0.2,203.81,Tape
2025-04-02,CUST0091,ITEM019,9,24.44,0.08,202.36,Sticky Notes
2025-04-25,CUST0005,ITEM003,5,37.94,0.03,184.01,Pen
2025-04-06,CUST0100,ITEM012,1,48.65,0.18,39.89,Scissors
2025-04-19,CUST0033,ITEM014,8,14.56,0.07,108.33,Binder
2025-05-14,CUST0085,ITEM022,6,11.28,0.13,58.88,Graph Paper
2025-05-06,CUST0083,ITEM017,3,18.69,0.06,52.71,Stapler
2025-04-04,CUST0071,ITEM016,2,13.25,0.06,24.91,Calculator
2025-03-22,CUST0095,ITEM020,5,18.11,0.16,76.06,Whiteboard Marker
2025-03-03,CUST0130,ITEM028,7,28.14,0.12,173.34,Label Maker
2025-05-03,CUST0028,ITEM008,9,43.98,0.14,340.41,Ruler
2025-04-20,CUST0006,ITEM028,5,28.14,0.08,129.44,Label Maker
2025-05-06,CUST0055,ITEM026,3,40.33,0.08,111.31,Desk Organizer
2025-04-21,CUST0097,ITEM009,9,32.05,0.18,236.53,Compass
2025-03-14,CUST0099,ITEM026,5,40.33,0.04,193.58,Desk Organizer
2025-04-21,CUST0017,ITEM006,6,12.02,0.04,69.24,Marker
2025-03-03,CUST0054,ITEM016,8,13.25,0.13,92.22,Calculator
2025-04-30,CUST0115,ITEM018,5,28.61,0.02,140.19,Paper Clips
2025-05-14,CUST0103,ITEM019,6,24.44,0.03,142.24,Sticky Notes
2025-05-10,CUST0107,ITEM018,12,28.61,0.08,315.85,Paper Clips
2025-04-25,CUST0083,ITEM025,10,25.52,0.03,247.54,Correction Fluid
2025-03-06,CUST0070,ITEM007,10,7.61,0.19,61.64,Highlighter
2025-03-20,CUST0115,ITEM020,5,18.11,0.02,88.74,Whiteboard Marker
2025-03-22,CUST0097,ITEM010,4,36.86,0.04,141.54,Protractor
2025-04-22,CUST0119,ITEM011,7,5.93,0.15,35.28,Glue Stick
2025-04-17,CUST0113,ITEM013,7,42.46,0.11,264.53,Tape
2025-03-31,CUST0070,ITEM013,4,42.46,0.04,163.05,Tape
2025-03-30,CUST0008,ITEM025,6,25.52,0.04,147.0,Correction Fluid
2025-04-27,CUST0048,ITEM022,4,11.28,0.09,41.06,Graph Paper
2025-03-24,CUST0095,ITEM019,4,24.44,0.12,86.03,Sticky Notes
2025-05-15,CUST0056,ITEM021,6,32.53,0.11,173.71,Clipboard
2025-05-07,CUST0107,ITEM009,7,32.05,0.01,222.11,Compass
2025-03-20,CUST0007,ITEM002,6,47.78,0.14,246.54,Pencil
2025-04-10,CUST0077,ITEM012,3,48.65,0.03,141.57,Scissors
2025-04-13,CUST0098,ITEM013,7,42.46,0.18,243.72,Tape
2025-05-05,CUST0075,ITEM027,5,13.99,0.04,67.15,File Tray
2025-03-03,CUST0096,ITEM016,6,13.25,0.01,78.7,Calculator
2025-03-23,CUST0121,ITEM008,5,43.98,0.14,189.11,Ruler
2025-03-14,CUST0072,ITEM008,6,43.98,0.09,240.13,Ruler
2025-03-30,CUST0011,ITEM003,0,37.94,0.19,0.0,Pen
2025-04-23,CUST0051,ITEM014,7,14.56,0.08,93.77,Binder
2025-03-27,CUST0078,ITEM010,5,36.86,0.03,178.77,Protractor
2025-05-03,CUST0030,ITEM009,10,32.05,0.05,304.47,Compass
2025-03-03,CUST0034,ITEM019,5,24.44,0.1,109.98,Sticky Notes
2025-05-03,CUST0039,ITEM025,3,25.52,0.02,75.03,Correction Fluid
2025-03-17,CUST0058,ITEM013,5,42.46,0.07,197.44,Tape
2025-03-13,CUST0144,ITEM019,6,24.44,0.19,118.78,Sticky Notes
2025-04-10,CUST0062,ITEM012,11,48.65,0.08,492.34,Scissors
2025-05-03,CUST0095,ITEM013,7,42.46,0.16,249.66,Tape
2025-04-14,CUST0073,ITEM008,7,43.98,0.16,258.6,Ruler
2025-04-22,CUST0092,ITEM021,5,32.53,0.13,141.51,Clipboard
2025-04-23,CUST0023,ITEM027,2,13.99,0.13,24.34,File Tray
2025-04-25,CUST0146,ITEM014,11,14.56,0.14,137.74,Binder
2025-03-12,CUST0041,ITEM021,4,32.53,0.01,128.82,Clipboard
2025-05-07,CUST0068,ITEM012,8,48.65,0.07,361.96,Scissors
2025-03-25,CUST0146,ITEM016,7,13.25,0.03,89.97,Calculator
2025-04-08,CUST0058,ITEM027,5,13.99,0.2,55.96,File Tray
2025-03-08,CUST0140,ITEM018,10,28.61,0.03,277.52,Paper Clips
2025-05-08,CUST0113,ITEM014,3,14.56,0.06,41.06,Binder
2025-05-01,CUST0113,ITEM029,6,31.66,0.15,161.47,Bulletin Board
2025-04-26,CUST0102,ITEM005,4,12.02,0.17,39.91,Sharpener
2025-04-11,CUST0013,ITEM019,3,24.44,0.08,67.45,Sticky Notes
2025-05-16,CUST0069,ITEM006,7,12.02,0.09,76.57,Marker
2025-04-28,CUST0003,ITEM020,2,18.11,0.15,30.79,Whiteboard Marker
2025-04-25,CUST0017,ITEM025,4,25.52,0.17,84.73,Correction Fluid
2025-04-17,CUST0033,ITEM006,6,12.02,0.03,69.96,Marker
2025-04-06,CUST0114,ITEM025,6,25.52,0.05,145.46,Correction Fluid
2025-04-17,CUST0137,ITEM006,4,12.02,0.02,47.12,Marker
2025-04-13,CUST0045,ITEM007,6,7.61,0.06,42.92,Highlighter
2025-04-06,CUST0148,ITEM030,3,7.09,0.2,17.02,Push Pins
2025-04-10,CUST0078,ITEM004,6,31.94,0.0,191.64,Eraser
2025-04-22,CUST0069,ITEM014,3,14.56,0.05,41.5,Binder
2025-03-24,CUST0089,ITEM025,2,25.52,0.16,42.87,Correction Fluid
2025-04-06,CUST0016,ITEM015,4,13.18,0.13,45.87,Folder
2025-04-17,CUST0056,ITEM009,2,32.05,0.02,62.82,Compass
2025-04-20,CUST0007,ITEM007,9,7.61,0.15,58.22,Highlighter
2025-05-06,CUST0078,ITEM013,2,42.46,0.1,76.43,Tape
2025-03-07,CUST0012,ITEM021,6,32.53,0.16,163.95,Clipboard
2025-05-06,CUST0148,ITEM011,8,5.93,0.13,41.27,Glue Stick
2025-03-31,CUST0097,ITEM026,4,40.33,0.04,154.87,Desk Organizer
2025-04-07,CUST0025,ITEM021,8,32.53,0.13,226.41,Clipboard
2025-03-28,CUST0102,ITEM030,6,7.09,0.09,38.71,Push Pins
2025-03-19,681ef40f11f6648efb65ba89,ITEM027,2,13.99,0.03,27.14,File Tray
2025-03-30,CUST0034,ITEM009,10,32.05,0.03,310.88,Compass
2025-03-09,CUST0112,ITEM012,5,48.65,0.14,209.2,Scissors
2025-04-24,CUST0125,ITEM019,2,24.44,0.14,42.04,Sticky Notes
2025-04-03,CUST0068,ITEM010,3,36.86,0.06,103.95,Protractor
2025-03-04,CUST0067,ITEM010,4,36.86,0.19,119.43,Protractor
2025-03-26,CUST0146,ITEM014,6,14.56,0.13,76.0,Binder
2025-03-29,CUST0048,ITEM024,2,21.49,0.11,38.25,Index Cards
2025-03-14,CUST0096,ITEM011,5,5.93,0.0,29.65,Glue Stick
2025-04-07,CUST0038,ITEM015,6,13.18,0.16,66.43,Folder
2025-04-01,CUST0098,ITEM005,3,12.02,0.09,32.81,Sharpener
2025-04-03,CUST0108,ITEM024,6,21.49,0.01,127.65,Index Cards
2025-05-10,CUST0058,ITEM025,5,25.52,0.06,119.94,Correction Fluid
2025-05-14,CUST0024,ITEM015,5,13.18,0.19,53.38,Folder
2025-03-08,CUST0145,ITEM013,8,42.46,0.06,319.3,Tape
2025-04-29,CUST0068,ITEM014,5,14.56,0.0,72.8,Binder
2025-04-08,CUST0148,ITEM029,3,31.66,0.13,82.63,Bulletin Board
2025-03-07,CUST0109,ITEM003,6,37.94,0.02,223.09,Pen
2025-04-15,CUST0044,ITEM016,2,13.25,0.13,23.06,Calculator
2025-05-10,CUST0116,ITEM002,3,47.78,0.17,118.97,Pencil
2025-05-06,CUST0121,ITEM006,6,12.02,0.12,63.47,Marker
2025-04-21,CUST0120,ITEM029,5,31.66,0.09,144.05,Bulletin Board
2025-04-21,CUST0037,ITEM024,8,21.49,0.16,144.41,Index Cards
2025-04-19,CUST0097,ITEM018,5,28.61,0.1,128.74,Paper Clips
2025-03-23,CUST0078,ITEM018,7,28.61,0.04,192.26,Paper Clips
2025-04-30,CUST0044,ITEM011,4,5.93,0.08,21.82,Glue Stick
2025-05-05,CUST0067,ITEM015,5,13.18,0.16,55.36,Folder
